sub_category,standardized_category,risk_level
restaurant,FOOD_AND_DRINK,LOW
yes,GENERAL_RETAIL,LOW
fuel,TRANSPORT,LOW
clothes,RETAIL,LOW
hotel,TRAVEL,HIGH
fast_food,FOOD_AND_DRINK,LOW
convenience,GROCERY,LOW
cafe,FOOD_AND_DRINK,LOW
bakery,FOOD_AND_DRINK,LOW
supermarket,GROCERY,LOW
pharmacy,MEDICAL,LOW
guest_house,TRAVEL,MEDIUM
general,GENERAL_RETAIL,LOW
hairdresser,SERVICES,LOW
jewelry,LUXURY,VERY_HIGH
mobile_phone,ELECTRONICS,HIGH
electronics,ELECTRONICS,HIGH
beauty,SERVICES,LOW
hardware,HOME_GARDEN,LOW
medical_supply,MEDICAL,LOW
shoes,RETAIL,LOW
stationery,RETAIL,LOW
greengrocer,FOOD_AND_DRINK,LOW
tailor,SERVICES,LOW
bar,FOOD_AND_DRINK,MEDIUM
car,AUTOMOTIVE,HIGH
furniture,HOME_GARDEN,MEDIUM
grocery,GROCERY,LOW
motorcycle,AUTOMOTIVE,HIGH
car_repair,AUTOMOTIVE,MEDIUM
dairy,GROCERY,LOW
confectionery,FOOD_AND_DRINK,LOW
butcher,FOOD_AND_DRINK,LOW
cinema,ENTERTAINMENT,LOW
books,RETAIL,LOW
motorcycle_repair,AUTOMOTIVE,MEDIUM
department_store,RETAIL,LOW
travel_agency,TRAVEL,HIGH
optician,MEDICAL,MEDIUM
mall,RETAIL,LOW
computer,ELECTRONICS,HIGH
tea,FOOD_AND_DRINK,LOW
gift,RETAIL,LOW
alcohol,ALCOHOL,HIGH
electrical,HOME_GARDEN,LOW
tyres,AUTOMOTIVE,MEDIUM
copyshop,SERVICES,LOW
chemist,MEDICAL,LOW
car_parts,AUTOMOTIVE,MEDIUM
bicycle,AUTOMOTIVE,LOW
ticket,ENTERTAINMENT,MEDIUM
sports,RETAIL,LOW
kiosk,GROCERY,LOW
photo,SERVICES,LOW
motel,TRAVEL,HIGH
florist,RETAIL,LOW
beverages,GROCERY,LOW
pastry,FOOD_AND_DRINK,LOW
pub,FOOD_AND_DRINK,MEDIUM
trade,B2B_WHOLESALE,LOW
pet,RETAIL,LOW
bag,RETAIL,LOW
cosmetics,RETAIL,LOW
laundry,SERVICES,LOW
appliance,ELECTRONICS,MEDIUM
interior_decoration,HOME_GARDEN,LOW
houseware,HOME_GARDEN,LOW
wine,ALCOHOL,HIGH
paint,HOME_GARDEN,LOW
watches,LUXURY,VERY_HIGH
variety_store,RETAIL,LOW
fashion_accessories,RETAIL,LOW
dry_cleaning,SERVICES,LOW
seafood,FOOD_AND_DRINK,LOW
agrarian,GROCERY,LOW
wholesale,B2B_WHOLESALE,LOW
toys,RETAIL,LOW
garden_centre,HOME_GARDEN,LOW
gas,TRANSPORT,LOW
farm,GROCERY,LOW
fabric,RETAIL,LOW
doityourself,HOME_GARDEN,LOW
tiles,HOME_GARDEN,LOW
bed,HOME_GARDEN,LOW
art,LUXURY,HIGH
repair,SERVICES,LOW
baby_goods,RETAIL,LOW
tobacco,ALCOHOL,HIGH
lottery,GAMBLING,VERY_HIGH
religion,CHARITY,LOW
spices,GROCERY,LOW
coffee,FOOD_AND_DRINK,LOW
tattoo,SERVICES,LOW
boutique,RETAIL,MEDIUM
lighting,HOME_GARDEN,LOW
kitchen,HOME_GARDEN,LOW
massage,SERVICES,LOW
fishing,RETAIL,LOW
health_food,GROCERY,LOW
musical_instrument,RETAIL,MEDIUM
